Número,Aberto,Atualizado em,Estado Relatório,Resolvido Relatório,Categoria Relatório,Subcategoria Relatório,Sintoma,Qualificação Sintoma,Grupo de atribuição,Categoria,Atribuído a,Prioridade,Encerrado,Solicitante Tarefa,Local,Descrição,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Comentários Visiveis ,Resolução
TASK0926414,25/03/2024 17:17:59,01/05/2024 16:00:04,Fechado,4/26/2024,Equipamento de TI,Solicitação de Equipamento,Colaborador Interno,Capitais e Regiões Metropolitanas,N2-FS-CA,Field Service,Analista Field,3 - Baixo,01/05/2024 16:00:04,ADM Sistemas,Centro de Distribuição,Solicitação de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar data e local entrega,Equipamentos liberados para entrega,Equipamentos entregue e termos assinados
TASK0928474,28/03/2024 09:31:03,02/05/2024 09:08:05,Resolvido,5/2/2024,Acessos,Atualização de Acesso,Atualização de dados cadastrais na BU,,N1-OUTROS,Service Desk,Analista Service Desk,3 - Baixo,02/05/2024 09:08:06,ADM Sistemas,Fábrica 1,Atualização de Acesso,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Usuário de rede criado e enviado os dados ao gestor imediato
TASK0929053,28/03/2024 17:23:31,03/05/2024 08:41:16,Resolvido,5/3/2024,Sistemas SAP,Suporte Funcional,Analise,Ordem de Produção,N1-SAP,Service Desk,Analista Service Desk,2 - Médio,03/05/2024 08:41:17,ADM Sistemas,Fábrica 1,Suporte Funcional,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0931383,02/04/2024 13:05:46,02/05/2024 10:41:16,Resolvido,5/2/2024,Outros Sistemas,Nugenesis,Outros,,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,22/04/2024 15:05:12,ADM Sistemas,Fábrica 1,Sistema lento ,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0933095,04/04/2024 10:37:29,01/05/2024 13:00:42,Fechado,4/26/2024,Equipamento de TI,Troca de Equipamento,Colaborador Externo,Acima de 300Km,N2-FS-EX,Field Service,Analista Field,3 - Baixo,01/05/2024 13:00:42,ADM Sistemas,Centro de Distribuição,Troca de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar data e local entrega,Equipamentos liberados para entrega,Equipamentos entregue e termos assinados
TASK0933890,05/04/2024 09:45:04,03/05/2024 09:42:44,Resolvido,5/3/2024,Acessos,Criar Perfil SAP,Criar perfil SAP,,N1-SAP,Service Desk,Analista Service Desk,3 - Baixo,03/05/2024 09:42:44,ADM Sistemas,Escritório central,Criar Perfil SAP,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Enviar aval gestor imediato para seguirmos com criação do acesso ,Realizado envio das informações solicitadas,"Ralizado a criação do acesso, enviado ao gestor imediato as informações."
TASK0935862,09/04/2024 09:32:28,02/05/2024 14:22:32,Resolvido,5/2/2024,Equipamento de TI,Configuração de Equipamento,Configuração de Equipamento,,N2-FS-NA,Field Service,Analista Field,3 - Baixo,02/05/2024 14:22:33,ADM Sistemas,Fábrica 1,Configuração de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Configurar Smartphone XXXX,informar melhor horário para atendimento ,Realizado a configuração do smartphone conforme solicitado
TASK0937918,11/04/2024 12:02:32,01/05/2024 10:02:12,Fechado,4/26/2024,Equipamento de TI,Devolução de Equipamento,Colaborador Interno,Capitais e Regiões Metropolitanas,N2-FS-NA,Field Service,Analista Field,3 - Baixo,01/05/2024 10:02:12,ADM Sistemas,Fábrica 1,Devolução de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Realizar entrega dos equipamentos ao time de gestão de ativos,Realizado entrega dos equipamentos,Equipamentos devolvidos ao estoque local 
TASK0939623,15/04/2024 10:39:31,01/05/2024 11:02:04,Fechado,4/26/2024,Serviços de TI,Infraestrutura - Soluções,Aquisição / Renovação de Aplicativo,,N1-OUTROS,Service Desk,Analista Service Desk,3 - Baixo,01/05/2024 11:02:04,ADM Sistemas,Centro de Distribuição,Solicito novo ponto de rede,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar local e aval para criação ponto de rede,Aguardando passagem do cabeamento,Pontos criados e ativados
TASK0942133,17/04/2024 18:12:59,01/05/2024 10:02:56,Fechado,4/26/2024,Sistemas,Admissão,Admissão,,N1-OUTROS,Service Desk,Analista Service Desk,3 - Baixo,01/05/2024 10:02:56,ADM Sistemas,Fábrica 1,Criar usuário de rede ,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Usuário de rede criado e enviado os dados ao gestor imediato
TASK0944627,22/04/2024 12:12:06,02/05/2024 19:54:09,Resolvido,5/2/2024,Acessos,Prorrogação de Acessos,Prorrogação de Acessos SAP,,N1-ACESSOS-SAP,Acesso,Analista Acesso ,3 - Baixo,02/05/2024 19:54:09,ADM Sistemas,Escritório central,Prorrogação de Acessos,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Realizado a prorrogação dos acessos conforme solicitado
TASK0944775,22/04/2024 14:25:11,01/05/2024 14:03:05,Fechado,4/26/2024,Equipamento de TI,Empréstimo de Equipamento,Empréstimo de Equipamento,,N2-FS-NA,Field Service,Analista Field,3 - Baixo,01/05/2024 14:03:05,ADM Sistemas,Fábrica 1,Empréstimo de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Solicito notebook para utilizar ,Retirar equipamento junto ao time de Field Service,Equipamento entregue conforme termo assinado e anexado
TASK0945016,22/04/2024 16:39:18,03/05/2024 09:14:25,Resolvido,5/3/2024,Acessos,Alteração de Perfil,Remediação Solicitadas por Controles Internos (CI),Com SAP,N1-ACESSOS-SAP,Acesso,Analista Acesso ,3 - Baixo,03/05/2024 09:14:25,ADM Sistemas,Centro de Distribuição,Alteração de Perfil,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar perfil espelho,Usar perfil espelho XXXXXXX,Realizado conforme solicitado o espelhamento do perfil 
TASK0945485,23/04/2024 10:20:43,03/05/2024 11:11:47,Fechado,5/2/2024,Acessos,Suporte Acessos,Análise de usuários Ativos / Inativos,Sistema Não SAP,N1-ACESSOS,Acesso,Analista Acesso ,3 - Baixo,03/05/2024 11:11:47,ADM Sistemas,Centro de Distribuição,Suporte Acessos,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Usuário de rede criado e enviado os dados ao gestor imediato
TASK0946570,24/04/2024 11:33:29,01/05/2024 10:05:04,Fechado,4/26/2024,Outras Solicitações,Outras Solicitações,Dúvida,Informação,TELEFONIA,Field Service,Analista Field,3 - Baixo,01/05/2024 10:05:04,ADM Sistemas,Centro de Distribuição,Configuração de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Configurar Smartphone XXXX,informar melhor horário para atendimento ,Realizado a configuração do smartphone conforme solicitado
TASK0946697,24/04/2024 13:23:11,01/05/2024 12:06:46,Fechado,4/26/2024,Equipamento de TI,Manutenção de Equipamento Locado,Manutenção de Equipamento Locado,Simpress,N2-FS-NA,Field Service,Analista Field,3 - Baixo,01/05/2024 12:06:46,ADM Sistemas,Centro de Distribuição,Manutenção de Equipamento Locado,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Equipamento danificado,Trocar carcaça ,Realizado a troca da carcaça 
TASK0946794,24/04/2024 14:44:00,01/05/2024 18:02:03,Fechado,4/26/2024,Acessos,Reset/Desbloqueio de Senha,Reset/Desbloqueio de Senha de Sistemas,,N1-ACESSOS,Acesso,Analista Acesso ,1 - Alto,01/05/2024 18:02:03,ADM Sistemas,Escritório central,Reset/Desbloqueio de Senha,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Não consigo logar em minha maquina,Informar os dados abaixo,Realizado desbloqueio da senha de rede
TASK0947172,25/04/2024 08:46:11,02/05/2024 15:37:36,Resolvido,5/2/2024,Acessos,Delegação de Aprovações,Delegação de Aprovações,Sem SAP,N1-ACESSOS,Acesso,Analista Acesso ,3 - Baixo,02/05/2024 15:37:37,ADM Sistemas,Fábrica 1,Troca de Acessos,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar perfil espelho,Usar perfil espelho XXXXXXX,Realizado conforme solicitado o espelhamento do perfil 
TASK0947321,25/04/2024 10:26:02,01/05/2024 17:04:12,Fechado,4/26/2024,Outros Sistemas,DMDocs,Dúvida,Informação,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,01/05/2024 17:04:12,ADM Sistemas,Escritório central,Sistema lento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0947870,25/04/2024 18:02:24,01/05/2024 10:07:52,Fechado,4/26/2024,Acessos,Atualização de Acesso,Atualização de Acesso,,N1-ACESSOS,Acesso,Analista Acesso ,3 - Baixo,01/05/2024 10:07:52,ADM Sistemas,Fábrica 1,Atualização de Acesso,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar acesso a ser liberado ,Por favor liberar acesso a pasta XXXXXX,Acesso liberado de leitura na pasta XXXXXXX
TASK0947940,26/04/2024 07:37:03,03/05/2024 11:51:07,Resolvido,5/3/2024,Outros Sistemas,Sistema Labware,Outros,,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,03/05/2024 11:51:07,ADM Sistemas,Fábrica 1,Sistema lento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0948052,26/04/2024 09:46:43,01/05/2024 11:07:17,Fechado,4/26/2024,Equipamento de TI,Item de Configuração,Criar Item de Configuração – Aplicações,,N2-ATIVOS-IC,Ativos,Analista Service Desk,3 - Baixo,01/05/2024 11:07:17,ADM Sistemas,Centro de Distribuição,Item de Configuração,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Preencher planilha em anexo para criação das Ics ,Planilha enviada com informações solicitadas,Raealizado a criação das Ics solicitadas.
TASK0948363,26/04/2024 14:36:09,01/05/2024 17:06:56,Fechado,4/26/2024,Acessos,Revogação de Acesso,Revogação de Acesso,Sem SAP,N1-ACESSOS,Acesso,Analista Acesso ,3 - Baixo,01/05/2024 17:06:56,ADM Sistemas,Escritório central,Revogação de Acesso,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Realizado a revogação dos acessos conforme solicitado
TASK0948365,26/04/2024 14:39:07,03/05/2024 09:35:45,Resolvido,5/3/2024,Acessos,Liberação de Acesso,Reativação de Acessos,Com SAP,N1-ACESSOS-SAP,Acesso,Analista Acesso ,2 - Médio,03/05/2024 08:05:24,ADM Sistemas,Fábrica 1,Liberação de Acesso,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Anexar aval e planilha de acesso ,Realizado envio das informações solicitadas,Usuário de rede criado e enviado os dados ao gestor imediato
TASK0948800,29/04/2024 09:29:21,02/05/2024 10:00:14,Resolvido,5/2/2024,Equipamento de TI,Solicitação de Equipamento,Colaborador Interno,Capitais e Regiões Metropolitanas,N2-FS-NA,Ativos,Analista Service Desk,3 - Baixo,02/05/2024 10:00:14,ADM Sistemas,Fábrica 1,Solicitação de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar data e local entrega,Equipamentos liberados para entrega,Equipamentos entregue e termos assinados
TASK0948949,29/04/2024 11:15:10,03/05/2024 13:43:13,Resolvido,5/3/2024,Equipamento de TI,Hands on,Hands on,,N2-FS-NA,Ativos,Analista Service Desk,3 - Baixo,03/05/2024 13:43:14,ADM Sistemas,Fábrica 1,Solicito novo ponto de rede,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar local e aval para criação ponto de rede,Aguardando passagem do cabeamento,Pontos criados e ativados
TASK0950427,02/05/2024 05:37:17,03/05/2024 00:34:26,Resolvido,5/3/2024,Serviços de TI,Infraestrutura - Soluções,Instalação de Aplicativos,Suporte a Instalação e Configuração de Aplicativos,N2-FS-NA,Field Service,Analista Field,3 - Baixo,03/05/2024 00:34:26,ADM Sistemas,Fábrica 1,Solicito novo ponto de rede,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar local e aval para criação ponto de rede,Aguardando passagem do cabeamento,Pontos criados e ativados
TASK0950560,02/05/2024 09:02:47,02/05/2024 15:13:57,Resolvido,5/2/2024,Equipamento de TI,Controle de Acesso e Relógio de Ponto,Suporte,Porta,N2-FS-NA,Field Service,Analista Field,3 - Baixo,02/05/2024 15:13:57,ADM Sistemas,Escritório central,Controle de Acesso e Relógio de Ponto,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Porta lenta ao abrir,Por favor informar local ,Realizado restart do serviço local 
TASK0950674,02/05/2024 09:43:30,02/05/2024 13:03:35,Resolvido,5/2/2024,Equipamento de TI,Controle de Acesso e Relógio de Ponto,Suporte,REP,N2-FS-NA,Field Service,Analista Field,3 - Baixo,02/05/2024 13:03:35,ADM Sistemas,Centro de Distribuição,Controle de Acesso e Relógio de Ponto,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Porta lenta ao abrir,Por favor informar local ,Realizado restart do serviço local 
TASK0950875,02/05/2024 11:33:41,02/05/2024 16:30:38,Fechado,5/2/2024,Outros Sistemas,DocNix,Outros,,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,02/05/2024 16:30:36,ADM Sistemas,Fábrica 1,Sistema lento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Somente na minha maquina,Solução aplicada Reinciado sistema operacional local 
TASK0951510,03/05/2024 08:37:13,03/05/2024 09:57:23,Resolvido,5/3/2024,Outros Sistemas,Dynamics,Auditoria Interna,Outros,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,03/05/2024 09:57:23,ADM Sistemas,Centro de Distribuição,Sistema lento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Somente na minha maquina,Solução aplicada Reinciado sistema operacional local 
TASK0951667,03/05/2024 09:44:47,03/05/2024 09:49:36,Resolvido,5/3/2024,Equipamento de TI,Hands on,Ativar Ponto de Rede,,N2-FS-NA,Field Service,Analista Field,3 - Baixo,03/05/2024 09:49:36,ADM Sistemas,Escritório central,Sistema lento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Somente na minha maquina,Solução aplicada Reinciado sistema operacional local 
TASK0951715,03/05/2024 10:04:45,03/05/2024 17:17:11,Resolvido,5/3/2024,Outros Sistemas,HCA,Dúvida,Informação,N2-LEG-SAT,AMS-Não SAP,Analista AMS,3 - Baixo,03/05/2024 17:17:11,ADM Sistemas,Escritório central,Sistema lento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0951951,03/05/2024 12:55:09,03/05/2024 13:18:47,Resolvido,5/3/2024,Equipamento de TI,Hands on,Solicitação de NF Entrada\Saída,,N2-AT-EXTERNOS,Ativos,Analista Service Desk,3 - Baixo,03/05/2024 12:59:36,ADM Sistemas,Centro de Distribuição,Sistema lento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0951957,03/05/2024 13:02:51,03/05/2024 13:18:29,Resolvido,5/3/2024,Equipamento de TI,Hands on,Solicitação de NF Entrada\Saída,,N2-AT-EXTERNOS,Ativos,Analista Service Desk,3 - Baixo,03/05/2024 13:06:37,ADM Sistemas,Centro de Distribuição,Sistema lento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Somente em sua maquina ?,Em todo departamento,Solução aplicada Reinciado serviço database
TASK0951959,03/05/2024 13:06:27,03/05/2024 13:34:03,Resolvido,5/3/2024,Impressoras,Suporte Impressoras,Troca de Toner,,N2-FS-NA,Field Service,Analista Field,3 - Baixo,03/05/2024 13:34:03,ADM Sistemas,Centro de Distribuição,Suporte Impressoras,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Papel atolado,informar local da impressora?,Realizado a retirada dos papeis atolados
TASK0951964,03/05/2024 13:15:34,03/05/2024 13:18:10,Resolvido,5/3/2024,Equipamento de TI,Hands on,Solicitação de NF Entrada\Saída,,N2-AT-EXTERNOS,Ativos,Analista Service Desk,3 - Baixo,03/05/2024 13:18:10,ADM Sistemas,Centro de Distribuição,Configuração de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Configurar Smartphone XXXX,informar melhor horário para atendimento ,Realizado a configuração do smartphone conforme solicitado
TASK0951989,03/05/2024 13:51:37,03/05/2024 13:53:26,Resolvido,5/3/2024,Equipamento de TI,Hands on,Transferência de Equipamento,,N2-FS-NA,Ativos,Analista Service Desk,3 - Baixo,03/05/2024 13:53:26,ADM Sistemas,Centro de Distribuição,Transferência de Equipamento,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar numero da nota de entrada,Informação anxeada conforme solicitado,Nota de saida anexada e enviada para seguir com transferencia
TASK0952138,03/05/2024 15:52:12,03/05/2024 16:26:54,Resolvido,5/3/2024,Suporte a Equipamento,Roaming Internacional,Liberação de Roaming Internacional,,TELEFONIA,Field Service,Analista Field,3 - Baixo,03/05/2024 16:26:54,ADM Sistemas,Centro de Distribuição,Roaming Internacional,Aguardando atendimento ,Em atendimento,Enviar evidencias ,Evidencias Anexadas,Problema Persiste,Acionando Nivel 2 ,Acionando Nvel 3 ,Informar data para ativação ,Data informadas conforme solicitado,Ativação do Roaming Internacional concluida conforme solicitado
